bed_time,rise_time,times_woke_up,deep_sleep_perc,light_sleep_perc,rem_sleep_perc,night_sleep,times_woke_up_perc,total_steps,total_steps_perc
2020-11-8 00:37:00,2020-11-9 09:00:00,2,17,54,29,8:05:00,25,5899,58.99
2020-11-9 23:34:00,2020-11-10 08:16:00,2,18,59,23,8:36:00,25,2684,26.84
2020-11-10 23:20:00,2020-11-11 08:01:00,3,22,61,17,8:01:00,38,6117,61.17
2020-11-11 23:49:00,2020-11-12 08:09:00,4,19,62,19,7:34:00,50,2492,24.92
2020-11-12 23:29:00,2020-11-13 07:59:00,2,24,50,26,8:12:00,25,4028,40.28
2020-11-13 00:37:00,2020-11-14 08:07:00,2,13,64,19,7:15:00,25,5482,54.82
2020-11-14 23:51:00,2020-11-16 08:16:00,2,18,49,33,7:47:00,25,7300,73
2020-11-16 00:24:00,2020-11-17 08:57:00,2,15,49,36,8:14:00,25,4414,44.14
2020-11-17 00:13:00,2020-11-19 07:58:00,2,21,57,22,7:37:00,25,8303,83.03
2020-11-19 00:12:00,2020-11-20 08:16:00,4,12,68,20,7:33:00,50,4789,47.89
2020-11-20 00:06:00,2020-11-21 08:01:00,2,17,58,25,7:47:00,25,4145,41.45
2020-11-21 00:56:00,2020-11-22 10:01:00,1,23,47,30,8:55:00,13,8931,89.31
2020-11-22 00:59:00,2020-11-23 08:59:00,2,21,61,18,7:50:00,25,4798,47.98
2020-11-23 23:14:00,2020-11-25 08:14:00,2,28,49,23,8:38:00,25,5254,52.54
2020-11-25 00:13:00,2020-11-26 08:18:00,4,18,56,26,7:40:00,50,3397,33.97
2020-11-26 01:36:00,2020-11-27 09:59:00,1,14,58,28,7:13:00,13,4532,45.32
2020-11-27 23:20:00,2020-11-28 07:58:00,2,19,59,22,8:21:00,25,5598,55.98
2020-11-28 00:52:00,2020-11-29 10:06:00,3,19,61,20,8:19:00,38,7094,70.94
2020-11-29 00:06:00,2020-12-1 08:34:00,2,19,52,29,8:16:00,25,2451,24.51
2020-12-1 01:01:00,2020-12-2 08:52:00,1,14,52,34,7:25:00,13,2426,24.26
2020-12-2 23:39:00,2020-12-3 08:12:00,1,24,43,33,8:31:00,13,2977,29.77
2020-12-3 23:05:00,2020-12-4 08:15:00,2,15,64,21,8:50:00,25,9535,95.35
2020-12-4 23:46:00,2020-12-5 08:10:00,3,16,66,18,8:08:00,38,2688,26.88
2020-12-5 00:44:00,2020-12-6 08:00:00,2,11,64,25,7:02:00,25,8218,82.18
2020-12-6 00:40:00,2020-12-8 10:36:00,3,13,66,21,9:45:00,38,4486,44.86
2020-12-8 23:22:00,2020-12-9 09:38:00,2,16,59,25,10:11:00,25,6341,63.41
2020-12-9 23:31:00,2020-12-11 06:11:00,1,20,46,34,6:34:00,13,4160,41.6
2020-12-11 00:38:00,2020-12-12 09:07:00,4,12,64,24,8:06:00,50,8853,88.53
2020-12-12 23:36:00,2020-12-13 08:26:00,2,13,52,35,8:34:00,25,4740,47.4
2020-12-13 23:04:00,2020-12-14 07:26:00,2,20,48,32,8:15:00,25,5794,57.94
2020-12-14 23:15:00,2020-12-15 07:41:00,3,20,51,29,8:12:00,38,2221,22.21
2020-12-15 23:25:00,2020-12-16 08:08:00,1,17,48,35,8:38:00,13,4811,48.11
2020-12-16 23:51:00,2020-12-17 09:46:00,1,7,71,22,8:52:00,13,3914,39.14
2020-12-17 23:56:00,2020-12-18 08:21:00,2,16,59,25,7:59:00,25,7820,78.2
2020-12-18 23:44:00,2020-12-20 08:48:00,3,24,42,34,8:48:00,38,2747,27.47
2020-12-20 00:44:00,2020-12-21 10:29:00,4,26,43,31,9:30:00,50,4785,47.85
2020-12-21 00:10:00,2020-12-22 08:23:00,2,20,62,18,8:00:00,25,5684,56.84
2020-12-22 00:34:00,2020-12-23 08:59:00,2,23,47,30,8:17:00,25,4654,46.54
2020-12-23 23:30:00,2020-12-24 09:40:00,4,14,66,20,9:30:00,50,3592,35.92
2020-12-24 00:20:00,2020-12-25 08:31:00,2,13,62,25,7:49:00,25,3867,38.67
2020-12-25 01:12:00,2020-12-27 10:46:00,3,21,46,33,8:42:00,38,3338,33.38
2020-12-27 11:23:00,2020-12-28 01:41:00,3,5,60,23,9:05:00,38,3873,38.73
2020-12-28 00:55:00,2020-12-29 10:29:00,3,17,50,33,9:17:00,38,12830,128.3
2020-12-29 10:41:00,2020-12-30 02:10:00,2,19,55,26,8:21:00,25,5662,56.62
2020-12-30 00:42:00,2020-12-31 07:18:00,3,14,69,17,6:15:00,38,4061,40.61
