date,times_woke_up,deep_sleep_perc,light_sleep_perc,rem_sleep_perc,night_sleep,times_woke_up_perc
2021-5-27,2,17,65,18,8:3,25
2021-5-28,2,34,42,24,5:49,25
2021-5-29,1,22,54,24,8:32,13
2021-5-30,2,16,65,19,8:42,25
2021-6-2,1,15,63,22,7:10,13
2021-6-3,3,23,64,13,10:30,38
2021-6-4,3,25,46,29,8:40,38
2021-6-5,2,26,46,28,7:33,25
2021-6-6,3,25,59,16,9:27,38
2021-6-7,4,21,65,14,4:55,50
2021-6-8,1,21,61,18,8:25,13
2021-6-9,2,17,66,17,5:21,25
2021-6-10,1,24,54,22,7:51,13
2021-6-11,2,25,56,19,9:8,25
2021-6-12,3,27,58,15,8:11,38
2021-6-13,1,18,57,25,7:50,13
2021-6-14,1,16,61,23,9:36,13
2021-6-15,1,21,56,23,6:15,13
2021-6-16,2,19,55,26,9:20,25
2021-6-17,2,22,60,18,7:36,25
2021-6-18,3,14,62,24,9:3,38
2021-6-19,3,17,64,19,8:55,38
2021-6-20,5,22,61,17,8:47,63
2021-6-21,4,18,62,20,7:44,50
2021-6-22,1,28,48,24,7:52,13
2021-6-23,2,20,61,19,8:54,25
2021-6-24,3,22,50,28,6:47,38
2021-6-25,1,22,59,19,7:41,13
2021-6-26,3,26,49,25,8:18,38
2021-6-27,4,19,47,34,8:35,50
2021-6-28,3,35,39,26,7:30,38
2021-6-29,2,17,59,24,7:44,25
2021-6-30,4,14,66,20,8:37,50
2021-7-1,1,15,60,25,7:33,13
2021-7-2,3,22,54,24,8:12,38
2021-7-4,2,23,46,31,6:19,25
2021-7-5,1,18,68,14,6:41,13
2021-7-6,1,23,62,15,7:32,13
2021-7-7,2,23,47,30,7:52,25
2021-7-8,2,14,62,24,8:24,25
2021-7-9,2,19,58,23,8:9,25
2021-7-10,2,20,60,20,9:35,25
2021-7-11,2,12,67,21,9:10,25
2021-7-12,2,19,57,24,7:5,25
2021-7-13,1,21,51,28,6:0,13
2021-7-14,2,21,63,16,7:47,25
2021-7-15,1,20,48,32,8:26,13
2021-7-16,3,22,55,23,7:58,38
2021-7-17,1,27,50,23,8:0,13
2021-7-18,2,20,59,21,9:41,25
2021-7-19,3,16,58,26,7:38,38
2021-7-20,3,14,64,22,7:21,38
2021-7-21,1,20,62,18,7:36,13
2021-7-22,1,25,56,19,7:30,13
2021-7-23,3,24,44,32,6:59,38
2021-7-24,2,29,41,30,7:30,25
2021-7-25,1,20,62,18,8:18,13
2021-7-26,1,27,47,26,6:55,13
2021-7-27,1,25,58,17,6:27,13
2021-7-28,1,21,58,21,8:37,13
2021-7-29,1,15,61,24,7:2,13
2021-7-30,2,21,56,23,8:4,25
2021-7-31,1,37,43,20,5:46,13
2021-8-1,2,23,49,28,10:5,25
2021-8-2,2,29,38,33,7:7,25
2021-8-3,1,27,46,27,7:52,13
2021-8-4,2,29,44,27,7:54,25
2021-8-5,1,17,56,27,7:37,13
2021-8-6,1,26,46,28,7:44,13
2021-8-7,2,21,60,19,9:6,25
2021-8-8,2,17,62,21,7:41,25
2021-8-9,3,13,63,24,9:15,38
2021-8-11,1,23,54,23,7:59,13
2021-8-12,3,15,67,18,8:10,38
2021-8-13,2,25,43,32,7:27,25
2021-8-14,2,16,53,31,8:57,25
2021-8-15,3,33,40,27,8:48,38
2021-8-16,2,15,63,22,7:43,25
2021-8-17,1,17,49,34,7:45,13
2021-8-18,1,13,72,15,7:43,13
2021-8-19,1,17,63,20,8:2,13
2021-8-20,1,18,48,34,7:56,13
2021-8-21,2,9,54,37,9:34,25
2021-8-22,1,18,60,22,9:43,13
2021-8-23,3,29,48,23,7:28,38
2021-8-24,3,19,56,25,8:14,38
2021-8-25,2,16,64,20,7:57,25
2021-8-26,1,23,50,27,8:6,13
2021-8-27,1,27,44,29,7:46,13
2021-8-28,2,8,60,32,8:57,25
2021-8-29,2,17,53,30,9:52,25
2021-8-30,2,18,60,22,7:30,25
2021-8-31,2,20,58,22,7:53,25
2021-9-1,2,17,59,24,7:18,25
2021-9-2,2,14,54,32,8:10,25
2021-9-3,2,9,66,25,8:11,25
2021-9-4,1,18,58,24,8:56,13
2021-9-5,3,23,64,13,7:3,38
2021-9-6,2,23,53,24,8:32,25
2021-9-8,1,24,60,16,8:12,13
2021-9-9,1,29,33,38,8:2,13
2021-9-10,2,17,60,23,8:5,25
2021-9-11,2,30,53,17,8:24,25
2021-9-12,1,21,62,17,8:37,13
2021-9-13,3,23,61,16,7:53,38
2021-9-14,2,22,59,19,8:8,25
2021-9-16,3,22,56,22,7:58,38
2021-9-17,3,22,66,12,8:6,38
2021-9-18,3,31,46,23,8:43,38
2021-9-19,3,9,59,32,8:38,38
2021-9-20,1,19,60,21,8:0,13
2021-9-21,2,25,57,18,7:36,25
2021-9-22,1,24,56,20,8:0,13
2021-9-23,1,24,49,27,8:15,13
2021-9-24,2,23,54,23,10:6,25
2021-9-25,2,25,58,17,8:27,25
2021-9-26,4,9,83,8,10:21,50
2021-9-27,3,19,70,11,7:30,38
2021-9-28,2,26,57,17,8:9,25
2021-9-29,1,23,51,26,7:30,13
2021-9-30,2,24,59,17,8:13,25
2021-10-1,1,26,56,18,7:16,13
2021-10-2,1,23,59,18,5:40,13
2021-10-3,2,16,60,24,10:56,25
2021-10-5,2,21,58,21,7:38,25
2021-10-6,1,18,64,18,8:9,13
2021-10-7,2,17,65,18,7:57,25
2021-10-8,1,30,52,18,7:47,13
2021-10-9,3,22,58,20,9:16,38
2021-10-10,2,29,45,26,8:23,25
2021-10-11,0,31,53,16,7:34,0
2021-10-13,3,16,58,26,7:31,38
2021-10-14,4,24,58,18,9:16,50
2021-10-15,3,25,56,19,7:57,38
2021-10-17,5,11,71,18,13:14,63
2021-10-18,2,22,53,25,6:58,25
2021-10-19,0,33,47,20,8:20,0
2021-10-20,1,21,50,29,8:1,13
2021-10-21,1,19,57,24,8:0,13
2021-10-22,3,13,53,34,7:42,38
2021-10-23,1,23,49,28,9:25,13
2021-10-25,2,21,49,30,8:3,25
2021-10-26,1,36,41,23,8:23,13
2021-10-27,1,25,54,21,7:53,13
2021-10-28,3,19,56,25,7:3,38
2021-10-29,2,15,54,31,7:33,25
2021-10-30,3,17,69,14,8:28,38
2021-11-1,1,10,55,35,7:50,13
2021-11-2,2,22,60,18,8:9,25
2021-11-3,1,17,64,19,7:34,13
2021-11-4,2,25,56,19,7:41,25
2021-11-5,1,25,50,25,7:59,13
2021-11-6,2,14,57,29,8:21,25
2021-11-8,2,23,59,18,7:56,25
2021-11-9,2,23,47,30,6:55,25
2021-11-10,1,33,41,26,8:10,13
2021-11-11,1,24,60,16,8:7,13
2021-11-12,2,31,51,18,8:3,25
2021-11-13,3,13,66,21,9:21,38
2021-11-14,2,22,52,26,9:32,25
2021-11-16,5,18,67,15,8:11,63
2021-11-17,2,16,63,21,7:55,25
2021-11-18,1,24,58,18,8:25,13
2021-11-19,1,28,51,21,8:6,13
2021-11-20,2,15,64,21,8:18,25
2021-11-21,2,25,55,20,11:13,25
2021-11-22,3,24,55,21,7:24,38
2021-11-23,3,27,59,14,8:17,38
2021-11-24,2,20,56,24,7:31,25
2021-11-25,2,16,56,28,8:5,25
2021-11-26,1,28,46,26,7:8,13
2021-11-27,2,23,62,15,7:58,25
2021-11-28,2,23,57,20,7:42,25
2021-11-29,2,26,52,22,8:3,25
2021-11-30,2,22,60,18,7:47,25
2021-12-2,2,20,51,29,7:51,25
2021-12-3,1,25,49,26,7:9,13
2021-12-4,1,20,70,10,8:0,13
2021-12-5,2,26,56,18,8:9,25
2021-12-6,2,28,53,19,7:1,25
2021-12-7,1,31,50,19,6:15,13
2021-12-9,1,21,62,17,6:55,13
2021-12-10,2,5,68,27,6:11,25
2021-12-11,1,26,55,19,8:50,13
2021-12-12,1,20,53,27,8:8,13
2021-12-13,2,36,39,25,8:17,25
2021-12-14,2,17,68,15,7:52,25
2021-12-15,1,22,62,16,7:30,13
2021-12-16,1,21,49,30,9:11,13
2021-12-17,2,18,63,19,7:56,25
2021-12-18,1,18,58,24,6:57,13
2021-12-19,3,16,62,22,8:5,38
2021-12-20,1,16,64,20,7:39,13
2021-12-20,2,29,47,24,7:31,25
2021-12-22,1,17,65,18,7:31,13
2021-12-23,0,22,61,17,7:29,0
2021-12-25,1,17,17,21,7:27,13
2021-12-26,3,18,64,18,8:20,38
2021-12-27,2,9,67,24,8:8,25
2021-12-28,1,16,65,19,7:34,13
2021-12-29,2,16,52,32,7:52,25
2021-12-30,3,16,71,13,7:41,38
2021-12-31,4,18,66,16,7:40,50
2022-1-1,2,24,61,15,9:17,25
2022-1-4,1,21,57,22,7:58,13
2022-1-5,2,13,63,24,7:28,25
2022-1-6,2,29,53,18,7:18,25
2022-1-7,1,26,53,21,7:36,13
2022-1-8,2,19,67,14,8:55,25
2022-1-9,2,25,55,20,7:13,25
